                       ,Game,Company,Created By,Created,Company Domain,Channels,Notes (old),Contacted,Sales Material,Campaign Preview,SQL,SQL (+ Region),SQL (+Project Stage),SQL (Gaming),Score,ICP,Fundraising,Team,Wishlists,Publisher,Release Date,Game Currency,Currency Name,Webshop,Webshop URL,NFT,NFT Marketplace/Contract URL,Coin,ERC20 contract URL,Blockchain,Region,Uses competitor,Project Stage,Company Founded,Roadmap URL,Twitter Created,Twitter Followers,Discord Members,Game Domain,Youtube Video URL,Twitter Tweet URL,Discord Invite URL,Discord Server ID,Q1 - Type,Q1 - Points,Q1 - Title,Q1 - Description,Q2 - Type,Q2 - Points,Q2 - Title,Q2 - Description,Q3 - Type,Q3 - Points,Q3 - Title,Q3 - Description,Q4 - Type,Q4 - Points,Q4 - Title,Q4 - Description,Q5 - Type,Q5 - Points,Q5 - Title,Q5 - Description
Web3 Gaming,Infinite Victory,Bit Fry Games,Prasanth,11/17/2023,https://www.bitfry.com/,"Email CEO , CTO , CMO",,,Not needed,,Review,No,No,No,5,Available,Raised funds,>10,,,,,,,,Not using yet,,Not using yet,,IMX,North America,,Beta,Nov 2013,,Oct 2021,6023,7100,https://www.infinitevictory.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Aqua Farm,Be Soft,Prasanth,11/6/2023,https://playaquafarm.io/,Email,10K+ Downloads,,Not needed,,Yes,No,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/aquafarmaree,Using,https://polygonscan.com/token/0x2A07461a493b994C2a32f549Fd185524f306aB38,Polygon,Asia,TaskOn,Beta,Dec 2021,https://whitepaper.playaquafarm.io/roadmap,Dec 2021,40000,83000,https://play.google.com/store/apps/details?id=com.marscompany.aquafarm,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Arsenal,Fabwelt,Prasanth,9/26/2023,https://www.fabwelt.com/,,Founder - Netherland,Contacted,Complete,https://dashboard.thx.network/preview/652e8f44591c8dfb5b17aae2,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://market.fabwelt.com/,Using,https://polygonscan.com/token/0x23e8b6a3f6891254988b84da3738d2bfe5e703b9,Polygon,Europe,,Beta,,https://www.fabwelt.com/roadmap/,May 2021,70000,4500,https://arsenal.fabwelt.com/,https://www.youtube.com/watch?v=o9_Nz--Wicc,https://twitter.com/FabweltToken/status/1714254721769169408,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,The Heist,Longwood Labs,Prasanth,11/6/2023,https://theheist.game/,"Discord DM CMO, CEO",,Contacted,Not needed,,Yes,Yes,No,No,9,Available,Raising funds,>10,,,,,,,,Using,https://magiceden.io/marketplace/theheist,Using,https://solana.fm/address/HxRELUQfvvjToVbacjr9YECdfQMUqGgPYB68jVDYxkbr?cluster=mainnet-solanafmbeta,SOL,Europe,Own Reward System,Alpha,Oct 2021,,Jan 2023,51400,22000,https://theheist.game/login,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Age of Battles,Firebyte Games,Prasanth,10/9/2023,https://firebyte.ro/,,Merit Circle,,Not needed,,No,No,No,No,10,Available,Raised funds,>10,,,,,,,,Not using yet,,Not using yet,,Polygon,Europe,,Beta,Dec 2017,,Jan 2022,28000,6500,https://aob.ai/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Raini Studios,The Lords of Light,Prasanth,10/9/2023,https://www.raini.io/,,,Contacted,Not needed,https://dashboard.thx.network/preview/652e8f48591c8dfb5b17aaed,Yes,Yes,No,No,6,Available,Raised funds,2-10,,,,,,,,Using,https://opensea.io/collection/rtlol,Using,https://subnets.avax.network/beam/token/0xe338aA35D844D5C1a4E052380DBFA939e0cce13F,AVAX,Oceania,,Beta,March 2021,https://www.raini.io/#roadmap,March 2021,14800,4700,https://rtlol.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Legends of Elysium,Legends of Elysium,Prasanth,10/8/2023,legendsofelysium.io,Discord Ticket,BGA Member,Contacted,Complete,https://dashboard.thx.network/preview/652e8f4a591c8dfb5b17aaf8,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/LegendsOfElysium/created,Using,,Polygon,Europe,Dequest,Alpha,July 2021,https://legendsofelysium.io/#11,Oct 2021,32000,11300,https://loe-staging-game.primebitgames.com/,https://www.youtube.com/watch?v=QB3L42TBbS4,https://twitter.com/LegendsElysium/status/1686332763786432512,https://discord.com/invite/TnbyVTyYjv,901146230216884315,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Organya,RealFevr,Prasanth,10/8/2023,https://realfevr.com/,Discord Ticket,BGA Member,Contacted,Complete,https://dashboard.thx.network/preview/652e8f4d591c8dfb5b17ab03,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://realfevr.com/marketplace,Using,https://bscscan.com/token/0x82030cdbd9e4b7c5bb0b811a61da6360d69449cc,BNB,Europe,Zealy,Alpha,June 2019,https://discord.com/channels/875776152902451231/883370506185756732,Sept 2014,69000,17600,https://organya.world/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Lazy Soccer,Lazy Soccer,Prasanth,10/8/2023,https://lazy.soccer/,Discord DM | Telegram DM,BGA Member,Contacted,Complete,https://dashboard.thx.network/preview/652e8f4f591c8dfb5b17ab0e,Yes,Yes,No,No,7,Available,Raised funds,2-10,,,,,,,,Using,https://magiceden.io/marketplace/lazy_alpha,Not using yet,,SOL,Europe,Zealy,Alpha,December 2022,https://lazy.soccer/#RoadMap,Dec 2021,10900,6700,https://lazy.soccer/,https://www.youtube.com/watch?v=7Vx3jwPpcl0,https://twitter.com/Lazy_Soccer/status/1666864604289302530,https://discord.com/invite/lazysoccer,932230318587519050,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Big Time,Big Time Studios,Prasanth,10/12/2023,https://bigtime.gg/,Discord DM | Telegram DM,,Contacted,Complete,https://dashboard.thx.network/preview/6569f04cbae1659de21ee87d,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/BigTimeStudios/,Using,https://etherscan.io/token/0x64Bc2cA1Be492bE7185FAA2c8835d9b824c8a194,Ethereum,North America,,Alpha,Apr 2020,https://wiki.bigtime.gg/big-time-getting-started/road-map,February 2021,256000,368000,https://bigtime.gg/play-now,https://www.youtube.com/watch?v=OzdO2RQgAgE,https://twitter.com/playbigtime/status/1730365633278181779,https://discord.com/invite/bigtime,666344617536520207,Custom,100,I'm your biggest fan,Join and watch a partners livestream that we retweeted,Daily,75,Complete ingame quests,Complete 7 ingame quests,Custom,,,,,,,,,,,
Web3 Gaming,Earth From Another Sun,Multiverse Entertainment,Prasanth,10/16/2023,https://www.multiverseinc.com/#/,"Email , Discord DM",,Contacted,,,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://www.fractal.is/efas,Not using yet,,SOL,North America,,Alpha,Mar 2016,https://cdn.discordapp.com/attachments/799622567630471168/1148651129077518426/image.png?ex=6537ec3a&is=6525773a&hm=f6767c695f2d459d5c63c95a8083f7ab8990ad37a6df4489c68acc042018205f&,Jul 2021,32000,35000,https://earthfromanothersun.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Rebel Bots Xoil wars,Xoilium ,Prasanth,10/17/2023,https://rebelbots.com/,"Email , Discord DM",Anon Admins,,,,No,No,No,No,12,Not available,Raised funds,>10,,,,,,,,Using,https://marketplace.rebelbots.com/marketplace/lands,Using,https://polygonscan.com/token/0xe26cda27c13f4f87cFFc2F437C5900b27eBb5bbB,Polygon,North America,,Beta,,https://rebelbots.com/roadmap,July 2021,53000,17000,https://rebelbots.com/play,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Last Resort,Blue Sky Interactive,Prasanth,10/17/2023,https://blueskyinteractive.co/,,,,,,No,No,No,No,6,Available,Raised funds,2-10,,,,,,,,Comming Soon,,Not using yet,,IMX,Europe,Zealy,Alpha,Aug 2022,https://www.lastresort.game/#roadmap,April 2023,12500,4200,https://www.lastresort.game/#gameplay,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Space Mavericks,FireGecko,Prasanth,11/24/2023,https://firegecko.studio/,"Email , Discord DM",,Contacted,Complete,https://dashboard.thx.network/preview/6580343e28e645501524a0d,Yes,Yes,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://magiceden.io/launchpad/polygon/goliath_pioneer_spaceship,Not using yet,,Polygon,Europe,Zealy,Alpha,Feb 2020,https://space-mavericks.com/#roadmap,November 2022,35000,13500,https://space-mavericks.com,https://www.youtube.com/watch?v=aPEUtambZhE,https://twitter.com/Space_Mavericks/status/1734617394146885730,https://discord.com/invite/adjZYCP2C7,821457202014846997,Daily,25,Celestial Conquester,Win a space battle and come out victorious ,Custom,75,Ascend Together,Destroy a Boss with friends and level up after that same game,,,,,,,,,,,,
Web3 Gaming,Space Nation,Space Nation,Prasanth,11/24/2023,https://spacenation.online/,Linkedin,,,,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/alphagatespacenation,Not using yet,,Ethereum,Asia,Zealy,Alpha,Aug 2022,https://spacenation.online/whitepaper/roadmap,March 2023,105000,49500,https://download.spacenation.online/launcher/win64/alpha/SpaceNationOnline.exe?2308300437,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,,Wild Meta Earth,Prasanth,11/24/2023,https://wildmeta.earth/,Telegram CEO,Animoca Funded,,,,Review,No,No,No,3,Available,Raised funds,2-10,,,,,,,,Comming Soon,,Not using yet,,Ethereum,Europe,Zealy,Alpha,Jan 2023,,December 2022,1350,,https://wildmeta.earth/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Knights of Cathena,Fivefingergames,Prasanth,11/25/2023,https://www.fivefingergames.com/,"Email , Discord DM",BGA Member,,,,Yes,Yes,No,No,7,Available,Raised funds,2-10,,,,,,,,Using,In Game Items,Using,https://app.ashswap.io/pool/,Other,Europe,,Alpha,Jul 2020,https://knights-of-cathena.com/#roadmap,January 2022,26000,8500,https://knights-of-cathena.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Astroon,Waker Games,Prasanth,11/29/2023,https://wakergames.com/,Telegram CEO,,,,,Review,No,No,Yes,6,Available,Raised funds,>10,,,,Using,https://www.astroon.io/astroon-fall,,,Not using yet,,Not using yet,,BNB,Europe,,Alpha,Jul 2021,,August 2021,15600,,https://www.astroon.io/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Heroes Chained,Inventuna Games,Prasanth,11/29/2023,https://www.inventuna.com/,Email CEO  ,They follow BGA on twitter,Contacted,Complete,https://dashboard.thx.network/preview/657b1646a55b5ec6f45c96a5,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,Comming Soon,,Using,https://marketplace.heroeschained.com/,Using,https://avascan.info/blockchain/c/token/0xc7f4debc8072e23fe9259a5c0398326d8efb7f5c,AVAX,Europe,,Beta,Apr 2021,https://whitepaper.heroeschained.com/roadmap,November 2021,55700,23900,https://heroeschained.com/betasignup/,https://www.youtube.com/watch?v=NPiIKtfw8QY,https://twitter.com/HeroesChained/status/1730376165158756509,https://discord.com/invite/heroeschained,911299050966482944,Daily,25,Scrap wizard,Disenchant and craft 4 different items,Custom,200,Guild Ascendancy,Reach a guild level of 10,,,,,,,,,,,,
Web3 Gaming,Nifty Island,Nifty Island,Prasanth,11/29/2023,https://www.niftyisland.com/,Discord DM CEO,,Contacted,Complete,https://dashboard.thx.network/preview/6569f059bae1659de21ee89d,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/nifty-island-legendary-palms,Not using yet,,Ethereum,North America,,Alpha,Jun 2021,https://www.niftyisland.com/roadmap,March 2021,54200,24000,https://www.niftyisland.com/play,https://www.youtube.com/watch?v=Cbud0IFFhts,https://twitter.com/Nifty_Island/status/1638263643627483136,https://discord.com/invite/4WT9BbEK82,824322904367300608,Daily,25,Showrunner Nifty,Win a race with other players in Nifty Island,Custom,50,Ready to play,Equip a VRM NFT and play with the character in game,Custom,,,,,,,,,,,
Web3 Gaming,Metaisland,WOK Corp Studio,Prasanth,10/19/2023,https://metaisland.gg/,Email CEO  ,BGA Member,,,,Yes,No,No,No,7,Available,Raised funds,2-10,,,,,,,,Using,https://nft.metaisland.gg/,Comming Soon,,Ethereum,Asia,Zealy,Alpha,Dec 2022,https://metaisland.gg/#roadmap,November 2022,7100,13400,https://metaisland.gg/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Virtua ,Virtua ,Prasanth,10/19/2023,virtua.com,Discord DM CEO,Metaverse,,,,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/virtua-monster-zone-land-plots,Using,https://etherscan.io/token/0xd084b83c305dafd76ae3e1b4e1f1fe2ecccb3988,Ethereum,Europe,,Post Launch,Jan 2016,https://discord.com/channels/684117774171373705/832217114550337546,February 2018,124000,23700,https://dashboard.virtua.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Carv,Carv,Prasanth,10/24/2023,https://carv.io/,,Gaming Platform,,,,No,No,No,No,12,Available,Raised funds,>10,,,,,,,,Not using,,Not using,,Polygon,Asia,Own Reward System,Post Launch,Sept 2021,,Dec 2021,158000,121000,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Dark Throne,Epic League,Prasanth,10/24/2023,https://www.epicleague.io/,Email | Discord DM,,,,,Yes,No,No,No,12,Available,Raised funds,>10,,,,,,,,Using,https://tofunft.com/collection/epl-totem/items,Using,https://polygonscan.com/token/0x1236ea13c7339287cd00ab196aaa8217006b04dc,Polygon,Asia,,Post Launch,Jan 2022,https://darkthrone.epicleague.io/#roadmap,February 2022,24000,26990,https://play.google.com/store/apps/details?id=io.epicleague.darkthrone,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Drawshop,Nolatency Limited,Prasanth,10/25/2023,https://drawshop.io/,,,,,,No,No,No,No,9,Not available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/drawshop,Using,https://scope.klaytn.com/token/0xec47f42260438666cc88ce6ef770283f2d19d39b?tabId=tokenTransfer,Klaytn,Asia,,Beta,,https://whitepaper.drawshop.io/roadmap,January 2022,32000,63900,https://play.drawshop.io/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Cryptopia,Cryptopia,Prasanth,10/26/2023,https://cryptopia.com/,CTO Email | Discord DM,Netherlands,Contacted,,,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/cryptopia-metaverse,Using,https://polygonscan.com/token/0x7348565F0A5077252D310392C3CeCD8dB87a7704,Ethereum,Europe,,Alpha,Jan 2022,https://cryptopia.com/#roadmap,Sept 2021,18000,31500,https://cryptopia.com/game/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Planetquest,Galactic Entertainment,Prasanth,10/26/2023,https://galacticentertainment.com/,Telegram DM BD,"60M Funding, Netherland Chairman",Contacted,Complete,https://dashboard.thx.network/preview/65719313d316eadb50f2a92c,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://market.immutable.com/collections/0xd17c47532860ed223910da50c64a8dc8f69ad18a,Not using yet,,IMX,Europe,,Beta,,https://medium.com/@planetquestgame/planetquest-outposts-preview-7dc5454fd567,Dec 2021,23000,186000,https://planetquest.io,https://www.youtube.com/watch?v=epBbvnDd5u8,https://twitter.com/JoinPlanetQuest/status/1729532722190635291,https://discord.com/invite/planetquest,806492951626776606,Custom,500,Passport Quest,Complete the Explorer Passport quests,Daily,25,Win a match,Eliminate enemy explorers,,,,,,,,,,,,
Web3 Gaming,Parallel,Parallel Studios,Prasanth,10/27/2023,https://parallel.life/,Discord DM,50M Funding,Contacted,,,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/parallelalpha,Not using yet,,Ethereum,North America,,Beta,Mar 2021,,February 2021,143000,42300,https://parallel.life/game/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Astrark,Moonveil Entertainment,Prasanth,10/27/2023,https://www.moonveil.gg/,,Too Early. Just Anounced,,,,No,No,No,No,3,Unknown,Raised funds,>10,,,,,,,,Comming Soon,,Comming Soon,,,North America,Own Reward System,Alpha,2023,,June 2023,1400,2600,,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Arkadia,Arkadia,Prasanth,10/30/2023,https://www.arkadiapark.com/,,ICP Anon,,,,No,No,No,No,9,Not available,Raising funds,2-10,,,,,,,,Using,https://opensea.io/collection/arkadians,Not using yet,,Polygon,North America,,Alpha,,https://www.arkadiapark.com/assets/whitepaper/arkadia%20whitepaper.pdf,January 2022,17000,4500,https://www.arkadiapark.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Shatterpoint,Block Games,Prasanth,10/31/2023,https://block-games.co,Email ,,,,,Yes,Yes,No,No,12,Available,Raising funds,>10,,,,,,,,Using,https://opensea.io/collection/shatterpoint-founder-collection,Not using,,Polygon,Europe,,Alpha,Mar 2022,https://www.shatterpoint.game/,Sept 2021,45000,27600,https://play.google.com/store/apps/details?id=com.blockgames.shatterpoint&hl=en&gl=US,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Ghost Ivy,Haven's Compass,Prasanth,11/1/2023,https://www.ghost-ivy.com/,Telegram / Discord DM CEO,,,,,Yes,Yes,No,No,6,Available,Raising funds,>10,,,,,,,,Using,In Game Keys,Not using,,SUI,Europe,,Beta,Nov 2021,,March 2022,20600,3040,https://www.havenscompass.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Avalon,Danu Games,Prasanth,11/1/2023,https://www.avalonthegame.com/,,,,,,Yes,No,No,No,9,Available,Raised funds,2-10,,,,,,,,Using,https://opensea.io/collection/avalon-the-game,Not using yet,,Polygon,Asia,,Alpha,Oct 2021,https://danu-games.gitbook.io/avalon-the-game-light-paper/avalon-the-game/road-map,January 2022,22600,2934,https://download.danu.games/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Mogaland,Tradelite Solutions,Prasanth,11/4/2023,https://tradelite.de/,Email | TG DM,Ecom Store - https://shop.mogaland.io/,,,,Review,No,No,No,3,Available,Raised funds,>10,,,,,,,,Comming Soon,,Comming Soon,,IMX,Europe,,Alpha,Apr 2023,https://whitepaper.mogaland.io/about/roadmap,Feb 2022,420,96,https://mogaland.io/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,OrcNation,3MetaD,Prasanth,11/1/2023,https://www.3metad.com/,Discord DM | Email,,,,,Review,No,No,No,7,Available,Raised funds,>10,,,,,,,,Comming Soon,,Not using yet,,Polygon,North America,,Alpha,Feb 2022,https://www.3metad.com/Roadmap,January 2022,6900,,https://www.3metad.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Chainers,Chainers,Prasanth,11/6/2023,https://chainers.io/,,Anon Team,,,,No,No,No,No,12,Not available,Raised funds,2-10,,,,,,,,Using,https://chainers.io/game/shop,Not using yet,,Polygon,South America,,Beta,,https://docs.chainers.io/chainers-docs/how-chainers-work/roadmap,November 2021,75300,56800,https://chainers.io/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Rumble Arcade,Tribo Games,Prasanth,11/7/2023,https://www.tribo.games/,"Email CEO , CTO , CPO",Merit Circle,,,,Yes,Yes,No,No,5,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/tribo-flameys,Not using yet,,Ethereum,Europe,,Beta,Nov 2021,,August 2022,6400,5700,https://play.rumblearcade.io/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Crystale,Crystale,Prasanth,11/7/2023,https://www.crystale.io/,Email  ,Netherlands,Contacted,Complete,https://dashboard.thx.network/preview/655340925562a0fa553e985d,Yes,Yes,No,No,3,Available,Raising funds,>10,,,,,,,,Using,https://www.g2a.com/geekverse/collection/137/0x4f5af4416505dd00ffe14013a235933d210dac1d,Not using yet,,IMX,Europe,,Alpha,Jan 2022,https://crystale-1.gitbook.io/crystale-whitepaper/crystale-core/roadmap,November 2021,2500,3500,https://www.crystale.io/,N/A,https://twitter.com/Crystaleio/status/1723001505257755113,https://discord.com/invite/EfJE6w4eVa,994566124257685524,Custom,80,Rise of the Burning Zodiacs,Purchause Burning Zodiac NFT,Daily,50,Burning sacrifice,Burn 5 servants in a single game,Custom,100,SZN community,Points for owning a SZN pass ,,,,,,,,
Web3 Gaming,Blobble World,Blobble World,Prasanth,11/7/2023,https://www.blobble.xyz/,,,,,,No,No,No,No,3,Available,Raising funds,2-10,,,,,,,,Using,https://app.blobble.xyz/market,Using,https://tracker.icon.community/token/cxf14dea1cff7ceb29a46e6d04533a08f84441e41d,Other,Europe,,Post Launch,Jul 2022,,January 2022,430,,https://app.blobble.xyz/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Astra Nova,Astra Nova,Prasanth,11/8/2023,https://astranova.world/,Discord DM BD,,Contacted,Complete,https://dashboard.thx.network/preview/657b164ea55b5ec6f45c96c6,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/deviants-of-astranova,Not using yet,,Other,Asia,,Alpha,Jul 2021,https://cdn.discordapp.com/attachments/1060039243344379986/1146940431913996348/IMG_20230430_184026_749.jpg?ex=65569d04&is=65442804&hm=257a0539f5021ad38a4fc971b0293f970854ed2ffe275a65ed1c81b7a68bd88b&,December 2020,57600,24500,https://deviantsnft.com/,https://www.youtube.com/watch?v=kuYVi1xbhwI,https://twitter.com/TheDeviantsNFT/status/1732794018810179735,https://discord.com/invite/astra-nova,921402513687732275,Custom,25,enter your email to pre register,Pre register for astra nova ,Custom,100,Welcome deviant,Buy a deviants nft on a secondary marketplace,,,,,,,,,,,,
Web3 Gaming,Shadow War,Patriots Division,Prasanth,11/8/2023,https://www.shadowwar.com/,,,,,,Review,No,No,No,9,Available,Raised funds,2-10,,,,,,,,Comming Soon,,Not using yet,,Ethereum,North America,,Alpha,Aug 2021,https://cdn.discordapp.com/attachments/1092833847118405733/1164888356841336882/We_dont_believe_in_roadmaps_but_history.jpg?ex=65574ed2&is=6544d9d2&hm=a906c3c6fe12531c8d817cdd2ae071d6e9ea31a24b6fc8c5ed1eddf2c990df57&,October 2021,53600,80000,https://shadownet.shadowwar.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Wilder World,Wilder World,Prasanth,11/8/2023,https://www.wilderworld.com/,Email  Founders,,Contacted,Complete,https://dashboard.thx.network/preview/659bbed57f072613e0cb8e97,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://opensea.io/collection/wilderworld,Using,https://etherscan.io/token/0x2a3bFF78B79A009976EeA096a51A948a3dC00e34,Ethereum,North America,,Alpha,January 2020,,December 2020,130000,27200,https://www.wilderworld.com/,https://www.youtube.com/watch?v=Jio01dQRDn4,https://twitter.com/WilderWorld/status/1743350067908788259,https://discord.com/invite/wilderworld,892217445304131615,Daily,25,Adrenaline Ape,Reach 200mph in a duel 1v1 race,Custom,500,Decentralized Driver,Buy a set of wheels from opensea,,,,,,,,,,,,
Web3 Gaming,Engines of Fury,Engines of Fury,Prasanth,11/9/2023,https://www.eof.gg/,"Email  CMO , CEO",BGA Member,Contacted,,,Yes,Yes,No,No,9,Available,Raised funds,>10,,,,,,,,Comming Soon,,Using,https://etherscan.io/token/0x09f33050a4f266e8908293199001a44fb5a7a1e7#code,Ethereum,Europe,,Alpha,May 2021,,October 2021,41800,15100,https://www.eof.gg/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Cradles,DRepublic,Prasanth,11/9/2023,https://www.drepublic.io/,Email | Discord DM,Under Animoca Brands,,,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://tofunft.com/collection/dragontar/items,Not using yet,,Ethereum,Asia,Galxe,Beta,April 2021,,May 2021,103000,20400,https://www.cradles.io/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Battle Derby,Triple-O Games,Prasanth,11/9/2023,https://tripleogames.com/,Email  Founders,BGA Member,Contacted,Complete,https://dashboard.thx.network/preview/655340995562a0fa553e987b,Yes,Yes,No,No,3,Available,Raised funds,>10,,,,,,,,Not using yet,,Using,In Game Currency,IMX,Europe,,Beta,October 2018,,July 2021,3100,1500,https://play.google.com/store/apps/details?id=com.tripleogames.bd,https://www.youtube.com/watch?v=RFeP1tUfbXY,https://twitter.com/BattleDerbyGame/status/1717827799031902371,https://discord.com/invite/62e8dBwB4a,884347329602285608,Daily,25,3 car pileup,get a triple kill in under 5 seconds,Daily,50,Junk yard scrapper,"Deal over 20,000 damage to enemy cars",,,,,,,,,,,,
Web3 Gaming,Battle Bears,SkyVu,Prasanth,11/10/2023,https://skyvu.com/,,Ecom store - https://battlebears.com/collections/all,,,,No,No,No,No,9,Available,Raised funds,>10,,,,,,,,Not using yet,,Not using yet,,Other,North America,,Beta,April 2012,,January 2009,19800,10180,https://battlebears.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,katana Inu ,ChainVision Games,Prasanth,11/14/2023,https://www.chainvisiongames.com/,Email | Discord DM,,,,,Yes,No,No,No,9,Available,Raised funds,>10,,,,,,,,Using,https://kainu.io/games/game/Katana%20Inu?network=Binance-Smart-Chain,Using,https://bscscan.com/token/0x6D6bA21E4C4b29CA7Bfa1c344Ba1E35B8DaE7205,BNB,Asia,,Beta,April 2021,https://katanainu.com/#roadmap,May 2021,66000,24500,https://katanainu.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Monsterra Game,Crescent Shine,Prasanth,11/14/2023,https://monsterra.io/,Email | TG DM,100K Downloads,,,,Yes,No,No,No,6,Available,Raised funds,>10,,,,,,,,Using,https://marketplace.monsterra.io/,Using,https://bscscan.com/token/0x2290C6bD9560E6498dFDf10F9eCB17997CA131f2,BNB,Asia,,Beta,July 2022,https://monsterra.io/,November 2021,131900,,https://play.monsterra.io/?src=social1,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,,World Play League,Prasanth,11/14/2023,https://worldplayleague.com/,,Publisher & gaming league,,,,No,No,No,No,3,Available,Raised funds,2-10,,,,,,,,Not using yet,,Not using yet,,,North America,,Beta,December 2022,,April 2023,1710,,https://worldplayleague.com/,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,The Planet of Hares,Hypergem,Prasanth,11/13/2023,https://0xhares.io/,Telegram DM,,,,,Yes,No,No,No,9,Available,Raised funds,2-10,,,,,,,,Using,https://opensea.io/collection/0xhares,Using,https://etherscan.io/token/0xd3f7c3052aa17d45718eb72a707f8046af665719,Ethereum,,TaskOn,Alpha,2021,https://cdn.discordapp.com/attachments/932181964591595591/1119176352415875152/817a7df23f464d959e34364be6d353b.jpg?ex=65699433&is=65571f33&hm=437528f84c5bc95ef0f8ae7fc2388479948d1c85afebca3a4a69fad70b36a740&,October 2021,43900,20500,https://0xhares.io/hareverse,,,,,,,,,,,,,,,,,,,,,,,,
Web3 Gaming,Zeeverse,Beetroot Lab,Prasanth,12/4/2023,https://www.beetrootlab.com/,Email | Discord DM,,,,,Yes,Yes,No,No,9,Available,Raising funds,>10,,,,,,,,Using,https://opensea.io/collection/zeeverse-masks,Using,https://etherscan.io/token/0x7616113782aadab041d7b10d474f8a0c04eff258,Ethereum,Europe,,Alpha,December 2021,https://whitepaper.zee-verse.com/gameplay/roadmap,Jan 2022,89300,11100,https://zee-verse.com/,,,,,,,,,,,,,,,,,,,,,,,,
